app_id,app_name,developer,category_scraped,project_category,avg_rating,total_ratings,total_reviews,installs,description,summary,content_rating,android_version,app_version,updated_on,released_on,size,pricing_model,price_usd,offers_iap,free,url,icon_url,genre_id,ratings_1_star,ratings_2_star,ratings_3_star,ratings_4_star,ratings_5_star,scraped_at
ai.chat.gpt.bot,ChatOn - AI Chat Bot Assistant,AIBY Inc.,Productivity,Generative Text / Chatbots,4.5313687,415800,4815,28956985,"Welcome to the world of AI assistance! Meet ChatOn, your chat AI and virtual assistant designed to streamline your daily tasks. Built on the latest GPT-5, Gemini 2.5 Pro, GPT-4o, o4-mini, Sonar, Claude 3.7, and DeepSeek-R1 technologies, ChatOn offers a responsive AI experience that’s highly effective. Whether you need help drafting emails, creating visuals, or generating ideas, turn to this chatbot for help.

PIC TRANSFORMER:
Give your photos a trendy makeover with Pic transformer! Upload your pic, pick a style—Japanese Cartoon or Action Figure with the app's AI Action Figure Maker—and let your chatbot do the rest! In the latest Pic transformer feature, you can meet your toy-sized self with an AI action figure generator, become a cute plushie, step into the cyber-future, and more.

AI IMAGE GENERATOR:
Create visuals that match your style with our AI picture generator. Just tweak the image generator chat settings and turn your ideas into pics of any size and style.

IMAGE-TO-TEX","Get multiple AI tools in one AI chatbot assistant: write AI text, chat, & more",Teen,,1.90.708-793,1770650584.0,"Jan 10, 2023",,Freemium,0.0,True,True,https://play.google.com/store/apps/details?id=ai.chat.gpt.bot&hl=en&gl=us,https://play-lh.googleusercontent.com/p8Q9Nc4AgKozvb3s6mKOvJ4-DOm0fuPv6axtl9qj4LgXE5LY5Ne7nz5PYbb3REz8D7s6,PRODUCTIVITY,24401,6224,19557,39421,326175,2026-02-21T07:58:57.602837
com.codespaceapps.aichat,Chatbot AI - Search Assistant,Codespace Dijital,Productivity,Generative Text / Chatbots,4.3877177,853335,3558,43643439,"Welcome to the world of AI assistance! Meet Chatbot AI – Smart Assistant, your intelligent companion for every task.

Have a question or a complex topic to explore? Just ask. From trivia and research to essays and professional writing, this AI provides instant, reliable answers to make your day easier. Whether you’re drafting a story, planning a project, or organizing your studies, the assistant is always ready to help.

Text Generation Mastery

Create anything with ease—stories, professional emails, social captions, poems, or even songs. The AI adapts to your style and purpose, helping you express ideas clearly, creatively, and efficiently.

AI Summary Generator

Save time with advanced summarization tools. The chatbot condenses long articles, essays, or research papers into clear and concise summaries—ideal for students, professionals, and anyone who values efficiency.

Language Learning Support

Enhance your language skills through interactive practice and grammar guid","AI Chat Bot: Seek deep guidance through search, web browsing, generators & more!",Everyone,,3.0.28,1771326314.0,"Feb 5, 2024",,Freemium,0.0,True,True,https://play.google.com/store/apps/details?id=com.codespaceapps.aichat&hl=en&gl=us,https://play-lh.googleusercontent.com/oG6s8oEa0IQhsPEY3jS34Eh7w4LlEmvgVnsZg38i4zst6fsKVOnEXsPwjDeVy0Mk0KcE,PRODUCTIVITY,76367,17727,38040,87594,633526,2026-02-21T07:59:00.369094
com.scaleup.chatai,AI Chatbot - Nova,ScaleUp,Productivity,Generative Text / Chatbots,3.817521,2099154,24700,88953865,"Nova is a revolutionary AI chatbot and personal assistant, built on the latest GPT-5.2, GPT5, GPT-4o, Google Gemini Pro 3, Claude, and DeepSeek technologies.

Nova Chatbot uses advanced AI developed on the technology such as GPT-5.2 and GPT-5 that understands your questions and generates human-like responses, making you feel like you are chatting with a knowledgeable friend. Nova Chatbot & AI Assistant can even recommend a book to read or a movie to watch!

Nova AI Chatbot is the #1 cross-compatible chatbot, developed using multiple AI models to make the latest AI chat technologies, including ChatGPT5.2, GPT5 accessible in the most user-friendly way. It is the only cross-platform chatbot app built on GPT-5.2, Google Gemini, Claude, and GPT5, offering industry-first features.

Key Features:
- Latest AI technology developed on GPT-5.2, GPT-5,
-  Built on ChatGPT5 to get answers from the Internet
-  AI Assistant to serve your needs
- Unlimited questions and answers
-  Multi-lan",AI Chatbot powered by the latest AI models. Ask Nova AI to write anything.,Everyone,,Varies with device,1770747984.0,"Mar 3, 2023",,Freemium,0.0,True,True,https://play.google.com/store/apps/details?id=com.scaleup.chatai&hl=en&gl=us,https://play-lh.googleusercontent.com/xDCktRsbzrc7A9CPmw90NYohjIrRJ_V8KRj7xNxhSoufl107I9_xDOC41Mx_rbKmRi8,PRODUCTIVITY,472891,63812,110419,178298,1273704,2026-02-21T07:59:03.772735
com.openai.chatgpt,ChatGPT,OpenAI,Productivity,Generative Text / Chatbots,4.806857,39567486,147940,1020303038,"Introducing ChatGPT for Android: OpenAI’s latest advancements at your fingertips.

This official app is free, syncs your history across devices, and brings you the latest from OpenAI, including the new image generator.

With ChatGPT in your pocket, you’ll find:

· Image generation–Generate original images from a description, or transform existing ones with a few simple words. 
· Advanced Voice Mode–Tap the soundwave icon to have a real-time convo on the go. Settle a dinner table debate, or practice a new language. 
· Photo upload—Snap or upload a picture to transcribe a handwritten recipe or get info about a landmark. 
· Creative inspiration—Find custom birthday gift ideas or create a personalized greeting card.
· Tailored advice—Talk through a tough situation, ask for a detailed travel itinerary, or get help crafting the perfect response. 
· Personalized learning—Explain electricity to a dinosaur-loving kid or easily brush up yourself on a historic event.
· Professional in",The official app by OpenAI,Teen,,1.2026.041,1771615723.0,"Jul 21, 2023",,Freemium,0.0,True,True,https://play.google.com/store/apps/details?id=com.openai.chatgpt&hl=en&gl=us,https://play-lh.googleusercontent.com/lmG9HlI0awHie0cyBieWXeNjpyXvHPwDBb8MNOVIyp0P8VEh95AiBHtUZSDVR3HLe3A,PRODUCTIVITY,723830,213177,718993,2669178,35242229,2026-02-21T07:59:06.408423
com.mlink.ai.chat.assistant.robot,AI Chat・Ask Chatbot Assistant,AI Chat Studio,Productivity,Generative Text / Chatbots,4.496657,184962,1464,11521500,"AI Chat app is built on the latest Top AI Models, including GPT-5, GPT-4o, Google Gemini, DeepSeek, Grok, LLaMA, Nano Banana and Claude technologies — we’re constantly updating to bring you the latest and smartest AI technologies.

Our app offers a wide range of powerful AI features: AI Chat, AI Home Design, AI Art & Image ( built on Nano Banana ), AI Logo Generator & Tattoo Design, AI Photo Enhancer, Voice Chat, Real-Time AI Search, PDF/DOC/Webpage Summarizer, AI Photo Recognition, Plant Identifier, and Smart AI Assistants for any task.

Whether you're creating, learning, or just exploring — simply ask AI Chat anything and get fast, intelligent results.

【Key Features】
- AI Chat: Human-like Responses
Built on GPT-5, GPT-4o, Google Gemini, DeepSeek, Grok, LLaMA, Nano Banana and Claude technologies, AI Chat brings you fantasy experience and Human-like responses!

-AI Home Design & Smart House Designer
Simply upload a photo of your home, choose interior design style and color ","Ask AI anything - AI home design, logo maker, tattoo, image generator and more!",Everyone,,2.0.1,1769856138.0,"Apr 14, 2023",,Freemium,0.0,True,True,https://play.google.com/store/apps/details?id=com.mlink.ai.chat.assistant.robot&hl=en&gl=us,https://play-lh.googleusercontent.com/E4yyxrKGJUF8-YLVQ7MQRuvUtW3hVHd69fobjfmDql24JGu9PG-YEf1cPYFY5js4UnM,PRODUCTIVITY,13064,3532,5289,19596,143443,2026-02-21T07:59:08.330424
ai.character.app,"Character AI: Chat, Talk, Text",Character.AI,Entertainment,Generative Text / Chatbots,3.3498888,2064842,69222,57989169,"✨Character.AI isn’t just another AI chat app—it’s an infinite playground for your imagination, creativity, and exploration.

Dive into immersive conversations, create your own AI chatbots, and join a vibrant community of creators, just like you. 

Text or talk—your next adventure begins here!

📱Chat, call, text, and create with AI Characters that respond intelligently, remember past conversations, and adapt to your style. Every AI chat feels natural, engaging, and unique to you. Explore endless possibilities as you create stories, build new worlds, roleplay adventures, or just have fun with your favorite AI chatbots.

🤖Countless AI Characters, Endless Possibilities

Character.AI is home to millions of user-generated AI Characters, offering a diverse and exciting world beyond basic chatbots. From legendary heroes and mischievous villains to unhinged weirdos and loyal sidekicks, there’s always a new AI Character waiting for you. 

Love AI chat? Dive into Characters from every","Super-intelligent AI chat bots that hear you, understand you, and remember you.",Teen,,1.15.2,1765581324.0,"May 22, 2023",,Freemium,0.0,True,True,https://play.google.com/store/apps/details?id=ai.character.app&hl=en&gl=us,https://play-lh.googleusercontent.com/dAVjIN_4fDErGgl_zMmb81QQSckVOg5LhpMR5liy5QrE8sglxM26MyCgIxsd5qzFyzHfGskqYpjwGD-LXt9Ugw4,ENTERTAINMENT,657407,118816,119285,182526,986786,2026-02-21T07:59:10.729172
chatgpt.ai.chatbot.open.chat.gpt.bot.writer.assistant,ChatBox: AI Chat Bot Assistant,FLORATE LIMITED,Productivity,Generative Text / Chatbots,4.4964285,95187,1255,5292690,"Meet Your Ultimate AI Chatbot & Personal Assistant

Welcome to ChatBox, your cutting-edge AI chat companion and virtual assistant developed on the most advanced AI chat models. Designed to seamlessly integrate into your daily life, this AI chatbot uses advanced machine learning to enhance productivity and provide instant solutions. Whether you're looking for help with a task or require answers to complex questions, your AI chatbot leverages the latest AI chat advancements to assist.

Unlock Endless Possibilities with ChatBox's Features, Based on AI Chat Technology

POCKET AI CHATBOT

ChatBox leverages the latest AI technology to deliver exceptional assistance. Whether it's answering complex queries, generating images, or providing detailed explanations, this AI chatbot—developed on DeepSeek V3, GPT-5, GPT-4o, Gemini, and Claude—is your reliable AI companion for a wide range of tasks.

VOICE CHAT

When you just don’t feel like typing, hit up your virtual assistant with the V","All AI Models in One App. Chatbot, Smart Assistant, AI Text & Image Generator",Everyone,,1.87.2,1771343221.0,"Apr 14, 2023",,Freemium,0.0,True,True,https://play.google.com/store/apps/details?id=chatgpt.ai.chatbot.open.chat.gpt.bot.writer.assistant&hl=en&gl=us,https://play-lh.googleusercontent.com/-PH_7RqWAwzy__aYi_JwzDq-Z-J80Czj_StHYp0LsKuqCDPtR1d-1IyvZ3FW3ytfXXU,PRODUCTIVITY,5777,1132,5437,10536,72290,2026-02-21T07:59:13.878069
ai.x.grok,Grok • Smartest AI Advisor,xAI,Productivity,Generative Text / Chatbots,4.731014,2391598,30033,88050159,"Grok is an AI-powered assistant, developed by xAI, designed to be maximally truthful, useful, and curious. Get answers to any question, generate striking images and videos, engage in natural conversations with voice mode, and upload pictures to gain a deeper understanding of your world. With Grok, the universe is in your hands!",Answer any question & generate striking images with AI. Real-time data from X.,Teen,,1.1.29-release.08,1771548180.0,"Mar 24, 2025",,Freemium,0.0,True,True,https://play.google.com/store/apps/details?id=ai.x.grok&hl=en&gl=us,https://play-lh.googleusercontent.com/dQRKhi30KpzG3gww3TdVLzyIAVuOAWylnAcgnEUxqfpm2A8dEt2sgApVvtKAy-DO8aI,PRODUCTIVITY,82760,20849,48586,152443,2086912,2026-02-21T07:59:16.663691
ai.chat.app,Chatbot - AI Smart Assistant,HubX,Productivity,Generative Text / Chatbots,4.4555893,152558,2018,6137731,"Smart AI Study Chatbot – Built on GPT-5, DeepSeek & GPT-4o

Study smarter and faster with the power of AI. Whether you’re preparing for exams, organizing your study schedule, or writing an essay, the Smart AI Chatbot is your all-in-one learning companion. Built on cutting-edge AI models like OpenAI GPT-5, GPT-4o, DeepSeek, Claude, Gemini, and LLAMA3, it gives you accurate, creative, and human-like responses for any topic.

💬 Ask AI Anything
 Get clear, personalized answers in seconds. From solving tough homework questions to getting study tips, the AI Chatbot helps you understand any subject faster. Whether you’re stuck on a math equation, need help brainstorming ideas, or want to summarize a history topic, just ask — your AI tutor is ready 24/7.

🧮 Solve Anything Instantly
 Take a photo of your question and let the AI solve it step-by-step. Ideal for math, physics, chemistry, or logic problems, this feature makes studying interactive and easy to follow. See how each answer is ","AI Chatbot: Homework help, math solver, essay writer, GPT-5, Gemini & more.",Everyone,,1.0.33,1764540969.0,"Feb 16, 2024",,Freemium,0.0,True,True,https://play.google.com/store/apps/details?id=ai.chat.app&hl=en&gl=us,https://play-lh.googleusercontent.com/jF6bWOxfObNRYVi5VSy7-o7sVp7yHmsRQAHQ1MvbMsU-O9O-il9OJox64lAatDIx5NQ,PRODUCTIVITY,14191,1749,4789,11422,120386,2026-02-21T07:59:19.934632
ai.chatbot.ask.chat.deep.seek.assistant.search.free,Deep Think - AI Seek Chatbot,Guru AI Lab,Productivity,Generative Text / Chatbots,4.6872964,52658,546,3639202,"<b>Powered by Gemini 3 Pro, 2.5 Lite & Flash, GPT 5.2, Claude 4, DeepSeek V3.2 & R1, and Grok 4, Qwen, the all-new AI Seek 2.0 marks a major leap from chatbot to all-in-one AI partner.</b>

<b>Don't Miss These Four New Features</b>
This all-in-one AI assistant goes beyond chat with four powerful upgrades to spark your creativity, curiosity, and productivity.

🎨 <b>Image Creation & Editing</b>: Built on Gemini 3 Pro (Nano Banana Pro or Nano Banana 2). Text-to-image, image-to-image, style transformation, and AI photo editing. Whether you're into AI art, creative design, or remixing your selfies, unleash your imagination with powerful visuals.

✍️ <b>Long-Form Writing Assistant</b>: Plan storylines, build characters, or continue novels effortlessly. Whether you're writing fiction, scripts, or light novels, AI Seek helps you craft engaging narratives step by step with advanced support from Gemini 3 Pro, Claude 4, DeepSeek, and GPT 5.2.

🔮 <b>AI Fortune-Telling</b>: Ask about love,","Built on Gemini 3 Pro, Grok, Claude & DeepSeek-V3.2 to help you write & solve.",Everyone,,2.6.1-26020493,1770799191.0,"Jan 22, 2025",,Freemium,0.0,True,True,https://play.google.com/store/apps/details?id=ai.chatbot.ask.chat.deep.seek.assistant.search.free&hl=en&gl=us,https://play-lh.googleusercontent.com/iNDZX8aSn3nEWwxUj7A5kDOuyrnzYYgaLOlgETvo4W3_7Y7PEyMOFGsODBxIrWQ5UcU,PRODUCTIVITY,2744,329,677,3074,45780,2026-02-21T07:59:22.869637
