app_id,app_name,project_category,review_count,avg_rating,mean_star_rating,mean_sentiment,sentiment_score_norm,sentiment_positive_pct,positive_count,neutral_count,negative_count,median_sentiment,std_sentiment,installs,avg_rating_norm,rating_sentiment_gap
ai.adcreative.m,AdCreative.ai: Generate Ads,Marketing AI,19,3.6666667,3.8421052631578947,0.3496789473684211,0.6748,68.4,13,1,5,0.7269,0.6606141247009376,11233,0.666666675,0.008133324999999969
ai.ai1min.application,1min AI,AI Coding Assistants,133,4.5728154,4.37593984962406,0.626475939849624,0.8132,86.5,115,5,13,0.7845,0.4163032503294989,33957,0.8932038499999999,0.08000384999999988
ai.aiart.aiartgenerator.creart,AI Image Generator - CreArt,Generative Text / Chatbots,153,4.2690196,3.0326797385620914,0.3243183006535948,0.6622,67.3,103,12,38,0.4927,0.5675297875834022,2862940,0.8172549,0.1550549
ai.artificialintelligence.artificial.intelligence.programming.learn.coding.robotics.leanai,Learn AI & ML with Python,AI Coding Assistants,155,4.66,3.858064516129032,0.4233283870967742,0.7117,76.8,119,9,27,0.5859,0.49309744535691047,392938,0.915,0.20330000000000004
ai.avatar.generator.maker,AI Avatar Maker: Create Avatar,Image Generation,71,4.41,2.971830985915493,0.12431549295774648,0.5622,46.5,33,17,21,0.0,0.5026592710341063,83724,0.8525,0.2903
ai.captiono.app,Captiono: AI Subtitles,Marketing AI,145,4.366337,3.6620689655172414,0.37515379310344826,0.6876,71.7,104,10,31,0.5574,0.5506384739832946,1358179,0.8415842499999999,0.15398424999999993
ai.cartoon.art.generator,AI Cartoon Generator-Art Maker,Image Generation,121,4.3366337,3.479338842975207,0.3750925619834711,0.6875,69.4,84,19,18,0.4927,0.4594817599145965,253922,0.834158425,0.14665842500000004
ai.character.app,"Character AI: Chat, Talk, Text",Generative Text / Chatbots,194,3.3502872,2.3402061855670104,0.18716958762886596,0.5936,61.9,120,10,64,0.43745,0.6556785336069728,57989169,0.5875718,0.006028200000000039
ai.chat.app,Chatbot - AI Smart Assistant,Generative Text / Chatbots,155,4.455918,3.6193548387096772,0.3558387096774194,0.6779,71.0,110,13,32,0.5598,0.5537930046491418,6137731,0.8639794999999999,0.18607949999999995
ai.chat.gpt.app,AI Chat - AI Chatbot Assistant,Generative Text / Chatbots,154,4.463054,4.246753246753247,0.5012818181818182,0.7506,79.9,123,15,16,0.65725,0.4480218065500663,3362913,0.8657634999999999,0.11516349999999986
ai.chat.gpt.bot,ChatOn - AI Chat Bot Assistant,Generative Text / Chatbots,153,4.5309143,3.1372549019607843,0.31273725490196075,0.6564,68.0,104,12,37,0.4676,0.5338776790321269,28956985,0.882728575,0.22632857500000003
ai.chat.pro.plus.smart.chatbot.ai.writing.tool,AI Chat App - AI Chat bot,Generative Text / Chatbots,127,4.08,3.559055118110236,0.3655283464566929,0.6828,70.1,89,13,25,0.4927,0.512083669362924,1999801,0.77,0.08720000000000006
ai.chatbot.ask.chat.deep.seek.assistant.search.free,Deep Think - AI Seek Chatbot,Generative Text / Chatbots,159,4.6883116,3.691823899371069,0.38904716981132076,0.6945,74.8,119,11,29,0.5719,0.49910890022109805,3639202,0.9220778999999999,0.2275778999999999
ai.deevid.aivideogenerator,DeeVid：AI Video Generator,Image Generation,124,3.3960395,2.7338709677419355,0.1318927419354839,0.5659,54.0,67,13,44,0.28085,0.5732910721104301,431502,0.599009875,0.033109875000000066
ai.email.write,"AI Email, Reply Writer: Xemail",Generative Text / Chatbots,141,4.7471266,4.609929078014185,0.5448617021276596,0.7724,86.5,122,12,7,0.6249,0.3433235087576344,629702,0.9367816499999999,0.16438164999999993
ai.fireflies.mobile,Fireflies: AI notetaker,Productivity AI,144,4.6732674,3.5694444444444446,0.37660763888888893,0.6883,68.1,98,16,30,0.575,0.5038449314781327,312468,0.9183168500000001,0.23001685000000005
ai.generated.art.maker.image.picture.photo.generator.painting,ARTA: AI Art & Photo Generator,Image Generation,142,4.2483487,2.056338028169014,0.08871056338028169,0.5444,53.5,76,10,56,0.18305,0.607127758261935,3664242,0.812087175,0.26768717500000005
ai.hailuo.video,Hailuo Al: Image&Video Maker,Marketing AI,164,4.263158,2.408536585365854,0.17337743902439026,0.5867,57.9,95,14,55,0.34515,0.5863523144018826,9349546,0.8157895,0.22908949999999995
ai.imgit.art_generator,"IMGIT AI Art, Avatar Generator",Image Generation,167,4.1235156,2.688622754491018,0.22762155688622754,0.6138,59.3,99,11,57,0.4201,0.638892631788932,738341,0.7808789,0.16707890000000003
ai.inflection.pi,"Pi, your personal AI",Productivity AI,157,3.5165563,3.2929936305732483,0.3653229299363057,0.6827,66.9,105,16,36,0.5775,0.5633778079325165,825350,0.629139075,0.05356092499999998
ai.jeeves.android,Jeeves.AI -Assistant & Chatbot,Marketing AI,42,4.6444445,4.119047619047619,0.48604047619047613,0.743,76.2,32,7,3,0.5843,0.4249433747410978,9967,0.9111111249999999,0.16811112499999992
ai.krisp.krispMobile,Krisp AI Meeting Note Taker,Productivity AI,61,3.7868853,2.5081967213114753,0.2008065573770492,0.6004,54.1,33,13,15,0.1531,0.49577439858227607,77344,0.696721325,0.0963213249999999
ai.krnl.onemoreshot,AI Music Video Generator - 1MS,Image Generation,147,3.9722223,1.6258503401360545,0.0155625850340136,0.5078,44.2,65,17,65,0.0,0.5717608054589131,101910,0.743055575,0.23525557499999994
ai.leaaxel.axel,Axel AI—Personal General Agent,Productivity AI,11,3.6,2.3636363636363638,0.2149,0.6074,45.5,5,2,4,0.0,0.5550042540377506,2871,0.65,0.04259999999999997
ai.leonardo.leonardo,Leonardo.Ai - Image Generator,Image Generation,153,4.7064776,3.392156862745098,0.3616686274509804,0.6808,71.2,109,7,37,0.5719,0.564076926849543,7662197,0.9266194000000001,0.24581940000000013
ai.mainfunc.genspark,Genspark AI Workspace,Generative Text / Chatbots,143,4.6349206,3.335664335664336,0.2870699300699301,0.6435,66.4,95,12,36,0.4767,0.5412698882967311,1370279,0.90873015,0.26523015000000005
